name,link,year_from,year_to,college,active
Dwyane Wade,/players/w/wadedw01.html,2004,2018,Marquette University,true
Mark Wade,/players/w/wadema01.html,1988,1990,"University of Oklahoma, University of Nevada, Las Vegas",false
Von Wafer,/players/w/wafervo01.html,2006,2012,Florida State University,false
Dajuan Wagner,/players/w/wagneda02.html,2003,2007,University of Memphis,false
Milt Wagner,/players/w/wagnemi01.html,1988,1991,University of Louisville,false
Dion Waiters,/players/w/waitedi01.html,2013,2018,Syracuse University,true
Granville Waiters,/players/w/waitegr01.html,1984,1988,Ohio State University,false
Andre Wakefield,/players/w/wakefan01.html,1979,1980,Loyola University of Chicago,false
Neal Walk,/players/w/walkne01.html,1970,1977,University of Florida,false
Andy Walker,/players/w/walkean01.html,1977,1977,Niagara University,false
Antoine Walker,/players/w/walkean02.html,1997,2008,University of Kentucky,false
Darrell Walker,/players/w/walkeda01.html,1984,1993,University of Arkansas,false
Foots Walker,/players/w/walkefo01.html,1975,1984,State University of West Georgia,false
Henry Walker,/players/w/walkebi01.html,2009,2015,Kansas State University,false
Kemba Walker,/players/w/walkeke02.html,2012,2018,University of Connecticut,true
Kenny Walker,/players/w/walkeke01.html,1987,1995,University of Kentucky,false
Phil Walker,/players/w/walkeph01.html,1978,1978,Millersville University of Pennsylvania,false
Samaki Walker,/players/w/walkesa01.html,1997,2006,University of Louisville,false
Wally Walker,/players/w/walkewa01.html,1977,1984,University of Virginia,false
John Wall,/players/w/walljo01.html,2011,2018,University of Kentucky,true
Ben Wallace,/players/w/wallabe01.html,1997,2012,Virginia Union University,false
Gerald Wallace,/players/w/wallage01.html,2002,2015,University of Alabama,false
John Wallace,/players/w/wallajo01.html,1997,2004,Syracuse University,false
Rasheed Wallace,/players/w/wallara01.html,1996,2013,University of North Carolina,false
Tyrone Wallace,/players/w/wallaty01.html,2018,2018,University of California,true
Jamie Waller,/players/w/walleja01.html,1988,1988,Virginia Union University,false
Taurean Waller-Prince,/players/p/princta02.html,2017,2018,Baylor University,true
Matt Walsh,/players/w/walshma01.html,2006,2006,University of Florida,false
Rex Walters,/players/w/waltere01.html,1994,2000,"Northwestern University, University of Kansas",false
Bill Walton,/players/w/waltobi01.html,1975,1987,"University of California, Los Angeles",false
Derrick Walton,/players/w/waltode01.html,2018,2018,University of Michigan,true
Lloyd Walton,/players/w/waltoll01.html,1977,1981,Marquette University,false
Luke Walton,/players/w/waltolu01.html,2004,2013,University of Arizona,false
Charlie Ward,/players/w/wardch01.html,1995,2005,Florida State University,false
Henry Ward,/players/w/wardhe01.html,1976,1977,Jackson State University,false
Casper Ware,/players/w/wareca01.html,2014,2014,"California State University, Long Beach",false
Cornell Warner,/players/w/warneco01.html,1971,1977,Jackson State University,false
Jameel Warney,/players/w/warneja01.html,2018,2018,Stony Brook University,true
T.J. Warren,/players/w/warretj01.html,2015,2018,North Carolina State University,true
Willie Warren,/players/w/warrewi01.html,2011,2011,University of Oklahoma,false
Bryan Warrick,/players/w/warribr01.html,1983,1986,Saint Joseph's University,false
Hakim Warrick,/players/w/warriha01.html,2006,2013,Syracuse University,false
Chris Washburn,/players/w/washbch01.html,1987,1988,North Carolina State University,false
Darius Washington,/players/w/washida01.html,2008,2008,University of Memphis,false
Duane Washington,/players/w/washidu01.html,1988,1993,Middle Tennessee State University,false
Eric Washington,/players/w/washier01.html,1998,1999,University of Alabama,false
Kermit Washington,/players/w/washike01.html,1974,1988,American University,false
Pearl Washington,/players/w/washipe01.html,1987,1989,Syracuse University,false
Richard Washington,/players/w/washiri01.html,1977,1982,"University of California, Los Angeles",false
Wilson Washington,/players/w/washiwi01.html,1978,1979,Old Dominion University,false
Darryl Watkins,/players/w/watkida01.html,2008,2012,Syracuse University,false
C.J. Watson,/players/w/watsocj01.html,2008,2017,University of Tennessee,true
Earl Watson,/players/w/watsoea01.html,2002,2014,"University of California, Los Angeles",false
Jamie Watson,/players/w/watsoja01.html,1995,1999,University of South Carolina,false
Slick Watts,/players/w/wattssl01.html,1974,1979,Xavier University of Louisiana,false
Maalik Wayns,/players/w/waynsma01.html,2013,2014,Villanova University,true
David Wear,/players/w/wearda01.html,2015,2015,"University of North Carolina, University of California, Los Angeles",false
Travis Wear,/players/w/weartr01.html,2015,2018,"University of North Carolina, University of California, Los Angeles",true
Clarence Weatherspoon,/players/w/weathcl01.html,1993,2005,University of Southern Mississippi,false
Nick Weatherspoon,/players/w/weathni01.html,1974,1980,University of Illinois at Urbana-Champaign,false
Kyle Weaver,/players/w/weaveky01.html,2009,2011,Washington State University,false
James Webb,/players/w/webbja01.html,2018,2018,Boise State University,true
Marcus Webb,/players/w/webbma01.html,1993,1993,University of Alabama,false
Spud Webb,/players/w/webbsp01.html,1986,1998,"Midland College, North Carolina State University",false
Chris Webber,/players/w/webbech01.html,1994,2008,University of Michigan,false
Briante Weber,/players/w/weberbr01.html,2016,2018,Virginia Commonwealth University,true
Jeff Webster,/players/w/webstje01.html,1996,1996,University of Oklahoma,false
Martell Webster,/players/w/webstma02.html,2006,2015,,false
Marvin Webster,/players/w/webstma01.html,1976,1987,Morgan State University,false
Scott Wedman,/players/w/wedmasc01.html,1975,1987,University of Colorado,false
Sonny Weems,/players/w/weemsso01.html,2009,2016,University of Arkansas,false
Brant Weidner,/players/w/weidnbr01.html,1984,1984,College of William & Mary,false
Bob Weiss,/players/w/weissbo01.html,1966,1977,Pennsylvania State University,false
Bonzi Wells,/players/w/wellsbo01.html,1999,2008,Ball State University,false
Bubba Wells,/players/w/wellsbu01.html,1998,1998,Austin Peay State University,false
Chris Welp,/players/w/welpch01.html,1988,1990,University of Washington,false
Jiri Welsch,/players/w/welscji01.html,2003,2006,,false
Bill Wennington,/players/w/wennibi01.html,1986,2000,St. John's University,false
Matt Wenstrom,/players/w/wenstma01.html,1994,1994,University of North Carolina,false
Robert Werdann,/players/w/werdaro01.html,1993,1997,St. John's University,false
David Wesley,/players/w/wesleda01.html,1994,2007,Baylor University,false
David West,/players/w/westda01.html,2004,2018,Xavier University,true
Delonte West,/players/w/westde01.html,2005,2012,Saint Joseph's University,false
Doug West,/players/w/westdo01.html,1990,2001,Villanova University,false
Mario West,/players/w/westma02.html,2008,2011,Georgia Institute of Technology,false
Mark West,/players/w/westma01.html,1984,2000,Old Dominion University,false
Russell Westbrook,/players/w/westbru01.html,2009,2018,"University of California, Los Angeles",true
Paul Westphal,/players/w/westppa01.html,1973,1984,University of Southern California,false
Robert Whaley,/players/w/whalero01.html,2006,2006,"Barton County Community College, University of Cincinnati, Walsh University",false
Ennis Whatley,/players/w/whatlen01.html,1984,1997,University of Alabama,false
DeJuan Wheat,/players/w/wheatde01.html,1998,1999,University of Louisville,false
Clinton Wheeler,/players/w/wheelcl01.html,1988,1989,William Paterson University,false
Tyson Wheeler,/players/w/wheelty01.html,1999,1999,University of Rhode Island,false
Andrew White,/players/w/whitean01.html,2018,2018,"University of Nebraska, Syracuse University",true
D.J. White,/players/w/whitedj01.html,2009,2014,Indiana University,false
Derrick White,/players/w/whitede01.html,2018,2018,University of Colorado,true
Eric White,/players/w/whiteer01.html,1988,1989,Pepperdine University,false
Jahidi White,/players/w/whiteja01.html,1999,2005,Georgetown University,false
James White,/players/w/whiteja02.html,2007,2013,"University of Florida, University of Cincinnati",false
Jo Jo White,/players/w/whitejo01.html,1970,1981,University of Kansas,false
Okaro White,/players/w/whiteok01.html,2017,2018,Florida State University,true
Randy White,/players/w/whitera01.html,1990,1994,Louisiana Tech University,false
Rodney White,/players/w/whitero02.html,2002,2005,University of North Carolina at Charlotte,false
Rory White,/players/w/whitero01.html,1983,1987,University of South Alabama,false
Royce White,/players/w/whitero03.html,2014,2014,Iowa State University,true
Rudy White,/players/w/whiteru01.html,1976,1981,Arizona State University,false
Tony White,/players/w/whiteto01.html,1988,1988,University of Tennessee,false
Willie White,/players/w/whitewi01.html,1985,1986,University of Tennessee at Chattanooga,false
Isaiah Whitehead,/players/w/whiteis01.html,2017,2018,Seton Hall University,true
Jerome Whitehead,/players/w/whiteje01.html,1979,1989,Marquette University,false
Donald Whiteside,/players/w/whitedo01.html,1997,1998,Northern Illinois University,false
Hassan Whiteside,/players/w/whiteha01.html,2011,2018,Marshall University,true
Dwayne Whitfield,/players/w/whitfdw01.html,1996,1996,Jackson State University,false
Chris Whitney,/players/w/whitnch01.html,1994,2004,Clemson University,false
Hawkeye Whitney,/players/w/whitnha02.html,1981,1982,North Carolina State University,false
Shayne Whittington,/players/w/whittsh01.html,2015,2016,Western Michigan University,false
Sidney Wicks,/players/w/wickssi01.html,1972,1981,"University of California, Los Angeles",false
Andrew Wiggins,/players/w/wiggian01.html,2015,2018,University of Kansas,true
Mitchell Wiggins,/players/w/wiggimi01.html,1984,1992,"Clemson University, Florida State University",false
C.J. Wilcox,/players/w/wilcocj01.html,2015,2017,University of Washington,true
Chris Wilcox,/players/w/wilcoch01.html,2003,2013,University of Maryland,false
Jacob Wiley,/players/w/wileyja01.html,2018,2018,Eastern Washington University,true
Michael Wiley,/players/w/wileymi01.html,1981,1982,"California State University, Long Beach",false
Morlon Wiley,/players/w/wileymo01.html,1989,1995,"California State University, Long Beach",false
Bob Wilkerson,/players/w/wilkebo01.html,1977,1983,Indiana University,false
Jamaal Wilkes,/players/w/wilkeja01.html,1975,1986,"University of California, Los Angeles",false
James Wilkes,/players/w/wilkeja02.html,1981,1983,"University of California, Los Angeles",false
Damien Wilkins,/players/w/wilkida02.html,2005,2018,"North Carolina State University, University of Georgia",true
Dominique Wilkins,/players/w/wilkido01.html,1983,1999,University of Georgia,false
Eddie Lee Wilkins,/players/w/wilkied01.html,1985,1993,Gardner-Webb University,false
Gerald Wilkins,/players/w/wilkige01.html,1986,1999,University of Tennessee at Chattanooga,false
Jeff Wilkins,/players/w/wilkije01.html,1981,1986,Illinois State University,false
Dale Wilkinson,/players/w/wilkida01.html,1985,1985,Idaho State University,false
Mike Wilks,/players/w/wilksmi01.html,2003,2010,Rice University,false
Aaron Williams,/players/w/williaa01.html,1994,2008,Xavier University,false
Alan Williams,/players/w/willial03.html,2016,2018,"University of California, Santa Barbara",true
Alvin Williams,/players/w/willial02.html,1998,2007,Villanova University,false
Brandon Williams,/players/w/willibr01.html,1998,2003,Davidson College,false
Buck Williams,/players/w/willibu01.html,1982,1998,University of Maryland,false
C.J. Williams,/players/w/willicj01.html,2018,2018,North Carolina State University,true
Chuck Williams,/players/w/willich02.html,1971,1978,University of Colorado,false
Chuckie Williams,/players/w/willich03.html,1977,1977,Kansas State University,false
Corey Williams,/players/w/willico01.html,1993,1994,Oklahoma State University,false
Deron Williams,/players/w/willide01.html,2006,2017,University of Illinois at Urbana-Champaign,false
Derrick Williams,/players/w/willide02.html,2012,2018,University of Arizona,true
Duck Williams,/players/w/willidu01.html,1980,1980,University of Notre Dame,false
Earl Williams,/players/w/williea01.html,1975,1979,Winston-Salem State University,false
Elliot Williams,/players/w/williel01.html,2012,2016,"Duke University, University of Memphis",false
Eric Williams,/players/w/willier01.html,1996,2007,Providence College,false
Frank Williams,/players/w/willifr02.html,2003,2005,University of Illinois at Urbana-Champaign,false
Freeman Williams,/players/w/willifr01.html,1979,1986,Portland State University,false
