name,link,year_from,year_to,college,active
Rudy Hackett,/players/h/hackeru01.html,1976,1977,Syracuse University,false
Hamed Haddadi,/players/h/haddaha01.html,2009,2013,,false
Scott Haffner,/players/h/haffnsc01.html,1990,1991,University of Evansville,false
Glenn Hagan,/players/h/hagangl01.html,1982,1982,St. Bonaventure University,false
Malik Hairston,/players/h/hairsma01.html,2009,2010,University of Oregon,false
P.J. Hairston,/players/h/hairspj02.html,2015,2016,University of North Carolina,true
Marcus Haislip,/players/h/haislma01.html,2003,2010,University of Tennessee,false
Jack Haley,/players/h/haleyja01.html,1989,1998,"University of California, Los Angeles",false
Mike Hall,/players/h/hallmi01.html,2007,2007,George Washington University,false
Darvin Ham,/players/h/hamda01.html,1997,2005,Texas Tech University,false
Steve Hamer,/players/h/hamerst01.html,1997,1997,University of Tennessee,false
Jordan Hamilton,/players/h/hamiljo02.html,2012,2016,University of Texas at Austin,true
Justin Hamilton,/players/h/hamilju01.html,2014,2017,Louisiana State University,true
Richard Hamilton,/players/h/hamilri01.html,2000,2013,University of Connecticut,false
Roy Hamilton,/players/h/hamilro01.html,1980,1981,"University of California, Los Angeles",false
Tang Hamilton,/players/h/hamilta01.html,2002,2002,Mississippi State University,false
Thomas Hamilton,/players/h/hamilth01.html,1996,2000,University of Pittsburgh,false
Zendon Hamilton,/players/h/hamilze01.html,2001,2006,St. John's University,false
Geert Hammink,/players/h/hammige01.html,1994,1996,Louisiana State University,false
Tom Hammonds,/players/h/hammoto01.html,1990,2001,Georgia Institute of Technology,false
A.J. Hammons,/players/h/hammoaj01.html,2017,2017,Purdue University,true
Darrin Hancock,/players/h/hancoda01.html,1995,1997,University of Kansas,false
Ben Handlogten,/players/h/handlbe01.html,2004,2005,Western Michigan University,false
Ben Hansbrough,/players/h/hansbbe01.html,2013,2013,University of Notre Dame,true
Tyler Hansbrough,/players/h/hansbty01.html,2010,2016,University of North Carolina,true
Bob Hansen,/players/h/hansebo01.html,1984,1992,University of Iowa,false
Glenn Hansen,/players/h/hansegl01.html,1976,1978,Louisiana State University,false
Lars Hansen,/players/h/hansela01.html,1979,1979,University of Washington,false
