name,link,year_from,year_to,college,active
Jonas Valanciunas,/players/v/valanjo01.html,2013,2017,,true
Darnell Valentine,/players/v/valenda01.html,1982,1991,University of Kansas,false
Denzel Valentine,/players/v/valende01.html,2017,2017,Michigan State University,true
Ronnie Valentine,/players/v/valenro01.html,1981,1981,Old Dominion University,false
Dick Van Arsdale,/players/v/vanardi01.html,1966,1977,Indiana University,false
Tom Van Arsdale,/players/v/vanarto01.html,1966,1977,Indiana University,false
Jan Van Breda Kolff,/players/v/vanbrja01.html,1975,1983,Vanderbilt University,false
Nick Van Exel,/players/v/vanexni01.html,1994,2006,University of Cincinnati,false
Keith Van Horn,/players/v/vanhoke01.html,1998,2006,University of Utah,false
Norm Van Lier,/players/v/vanlino01.html,1970,1979,Saint Francis University,false
Logan Vander Velden,/players/v/vandelo01.html,1996,1996,University of Wisconsin-Green Bay,false
Kiki Vandeweghe,/players/v/vandeki01.html,1981,1993,"University of California, Los Angeles",false
Nick Vanos,/players/v/vanosni01.html,1986,1987,Santa Clara University,false
David Vanterpool,/players/v/vanteda01.html,2001,2001,St. Bonaventure University,false
Fred VanVleet,/players/v/vanvlfr01.html,2017,2017,Wichita State University,true
Ratko Varda,/players/v/vardara01.html,2002,2002,,false
Anderson Varejao,/players/v/varejan01.html,2005,2017,,true
Jarvis Varnado,/players/v/varnaja01.html,2013,2014,Mississippi State University,true
Greivis Vasquez,/players/v/vasqugr01.html,2011,2017,University of Maryland,true
David Vaughn,/players/v/vaughda02.html,1996,1999,University of Memphis,false
Jacque Vaughn,/players/v/vaughja01.html,1998,2009,University of Kansas,false
Rashad Vaughn,/players/v/vaughra01.html,2016,2017,"University of Nevada, Las Vegas",true
Loy Vaught,/players/v/vaughlo01.html,1991,2001,University of Michigan,false
Pete Verhoeven,/players/v/verhope01.html,1982,1987,"California State University, Fresno",false
Jan Vesely,/players/v/veselja01.html,2012,2014,,true
Gundars Vetra,/players/v/vetragu01.html,1993,1993,,false
Joao Vianna,/players/v/viannjo01.html,1992,1992,,false
Charlie Villanueva,/players/v/villach01.html,2006,2016,University of Connecticut,true
Jay Vincent,/players/v/vinceja01.html,1982,1990,Michigan State University,false
Sam Vincent,/players/v/vincesa01.html,1986,1992,Michigan State University,false
Marcus Vinicius,/players/v/vincima01.html,2007,2008,,false
Fred Vinson,/players/v/vinsofr01.html,1995,2000,Georgia Institute of Technology,false
Gary Voce,/players/v/vocega01.html,1990,1990,University of Notre Dame,false
Alexander Volkov,/players/v/volkoal01.html,1990,1992,,false
Noah Vonleh,/players/v/vonleno01.html,2015,2017,Indiana University,true
Jake Voskuhl,/players/v/voskuja01.html,2001,2009,University of Connecticut,false
Danny Vranes,/players/v/vraneda01.html,1982,1988,University of Utah,false
Slavko Vranes,/players/v/vranesl01.html,2004,2004,,false
Stojko Vrankovic,/players/v/vrankst01.html,1991,1999,,false
Brett Vroman,/players/v/vromabr01.html,1981,1981,"University of Nevada, Las Vegas",false
Jackson Vroman,/players/v/vromaja01.html,2005,2006,Iowa State University,false
Nikola Vucevic,/players/v/vucevni01.html,2012,2017,University of Southern California,true
Sasha Vujacic,/players/v/vujacsa01.html,2005,2017,,true
