name,link,year_from,year_to,college,active
Kenneth Faried,/players/f/farieke01.html,2012,2018,Morehead State University,true
Jordan Farmar,/players/f/farmajo01.html,2007,2017,"University of California, Los Angeles",false
Desmon Farmer,/players/f/farmede01.html,2007,2009,University of Southern California,false
Jim Farmer,/players/f/farmeji01.html,1988,1994,University of Alabama,false
Tony Farmer,/players/f/farmeto01.html,1998,2000,"San Jose State University, University of Nebraska",false
Vitor Faverani,/players/f/favervi01.html,2014,2014,,false
Derrick Favors,/players/f/favorde01.html,2011,2018,Georgia Institute of Technology,true
Nick Fazekas,/players/f/fazekni01.html,2008,2008,"University of Nevada, Reno",false
Butch Feher,/players/f/feherbu01.html,1977,1977,Vanderbilt University,false
Jamie Feick,/players/f/feickja01.html,1997,2001,Michigan State University,false
Dave Feitl,/players/f/feitlda01.html,1987,1992,University of Texas at El Paso,false
Kay Felder,/players/f/feldeka01.html,2017,2018,Oakland University,true
Cristiano Felicio,/players/f/feliccr01.html,2016,2018,,true
Carrick Felix,/players/f/felixca01.html,2014,2014,Arizona State University,true
Noel Felix,/players/f/felixno01.html,2006,2006,"California State University, Fresno",false
Raymond Felton,/players/f/feltora01.html,2006,2018,University of North Carolina,true
Desmond Ferguson,/players/f/fergude01.html,2004,2004,"University of Missouri, University of Detroit Mercy",false
Terrance Ferguson,/players/f/fergute01.html,2018,2018,,true
Rudy Fernandez,/players/f/fernaru01.html,2009,2012,,false
Eric Fernsten,/players/f/fernser01.html,1976,1984,University of San Francisco,false
Rolando Ferreira,/players/f/ferrero01.html,1989,1989,University of Houston,false
Duane Ferrell,/players/f/ferredu01.html,1989,1999,Georgia Institute of Technology,false
Yogi Ferrell,/players/f/ferreyo01.html,2017,2018,Indiana University,true
Danny Ferry,/players/f/ferryda01.html,1991,2003,Duke University,false
Kyrylo Fesenko,/players/f/fesenky01.html,2008,2012,,false
Kenny Fields,/players/f/fieldke01.html,1985,1988,"University of California, Los Angeles",false
Landry Fields,/players/f/fieldla01.html,2011,2015,Stanford University,false
Michael Finley,/players/f/finlemi01.html,1996,2010,University of Wisconsin,false
Dorian Finney-Smith,/players/f/finnedo01.html,2017,2018,University of Florida,true
Matt Fish,/players/f/fishma01.html,1995,1997,University of North Carolina at Wilmington,false
Derek Fisher,/players/f/fishede01.html,1997,2014,University of Arkansas at Little Rock,false
Gerald Fitch,/players/f/fitchge01.html,2006,2006,University of Kentucky,false
Marcus Fizer,/players/f/fizerma01.html,2001,2006,Iowa State University,false
Al Fleming,/players/f/flemial01.html,1978,1978,University of Arizona,false
Vern Fleming,/players/f/flemive01.html,1985,1996,University of Georgia,false
Luis Flores,/players/f/florelu01.html,2005,2005,"Rutgers University, Manhattan College",false
Bruce Flowers,/players/f/flowebr01.html,1983,1983,University of Notre Dame,false
Sleepy Floyd,/players/f/floydsl01.html,1983,1995,Georgetown University,false
Jonny Flynn,/players/f/flynnjo01.html,2010,2012,Syracuse University,false
Mike Flynn,/players/f/flynnmi01.html,1976,1978,University of Kentucky,false
